           tablename           | row_count 
-------------------------------+-----------
 admin_audit_logs              | 2
 balance_ledger                | 0
 capital_transfers             | 1
 cash_accounts                 | 18
 cash_custody_requests         | 1
 cash_ledger                   | 253
 chat_attachments              | 14
 chat_audit_events             | 800
 chat_call_participants        | 227
 chat_calls                    | 114
 chat_device_keys              | 0
 chat_direct_rooms             | 1
 chat_e2ee_sessions            | 0
 chat_message_reactions        | 3
 chat_message_receipts         | 1021
 chat_messages                 | 502
 chat_presence                 | 7
 chat_privacy_settings         | 7
 chat_room_members             | 25
 chat_room_policies            | 3
 chat_rooms                    | 10
 chat_typing_state             | 10
 conversation_settings         | 10
 customer_merchant_connections | 4
 customer_messages             | 3
 customer_order_events         | 1
 customer_orders               | 4
 customer_profiles             | 2
 daily_reference_rates         | 0
 deal_capital                  | 0
 deal_capital_ledger           | 0
 gas_log                       | 0
 market_offers                 | 0
 merchant_approvals            | 0
 merchant_deals                | 9
 merchant_invites              | 8
 merchant_liquidity_profiles   | 2
 merchant_messages             | 121
 merchant_profiles             | 8
 merchant_profits              | 0
 merchant_relationships        | 9
 merchant_settlements          | 0
 message_reactions             | 0
 notification_preferences      | 0
 notifications                 | 517
 order_allocations             | 4
 os_audit_events               | 186
 os_business_objects           | 1
 os_channel_identities         | 3
 os_messages                   | 186
 os_policies                   | 0
 os_room_members               | 14
 os_room_presence              | 1
 os_rooms                      | 7
 os_threads                    | 0
 os_workflow_runs              | 0
 otc_disputes                  | 0
 otc_escrow                    | 2
 otc_listings                  | 1
 otc_reviews                   | 0
 otc_trades                    | 2
 p2p_snapshots                 | 52096
 profiles                      | 8
 profit_records                | 0
 profit_share_agreements       | 4
 push_device_tokens            | 0
 settlement_decisions          | 0
 settlement_overviews          | 0
 settlement_periods            | 3
 tracker_snapshots             | 7
 tracker_states                | 0
 user_roles                    | 1
(72 rows)

